tp_mult,sl_mult,pos_rate,avg_win,avg_loss,expectancy,score
2.0,1.1,0.403,0.1556,-0.1062,-0.0007,-0.0021
1.4,0.9,0.404,0.1325,-0.091,-0.0006,-0.0028
2.2,1.1,0.394,0.1606,-0.1058,-0.0008,-0.0037
2.4,1.1,0.388,0.1647,-0.1054,-0.0006,-0.0067
1.0,0.7,0.41,0.1005,-0.0731,-0.0019,-0.0069
3.0,1.3,0.417,0.1676,-0.1181,0.0009,-0.0073
1.8,1.1,0.414,0.1502,-0.1066,-0.0003,-0.0074
2.6,1.1,0.384,0.1676,-0.1052,-0.0004,-0.0084
2.8,1.3,0.418,0.1659,-0.1182,0.0006,-0.0084
1.6,0.9,0.383,0.1446,-0.0905,-0.0004,-0.0089
2.8,1.1,0.381,0.17,-0.105,-0.0002,-0.0095
3.0,1.1,0.38,0.1716,-0.1049,0.0001,-0.0101
2.6,1.3,0.421,0.1636,-0.1184,0.0003,-0.0102
2.4,1.3,0.424,0.1611,-0.1187,0.0,-0.0121
0.8,0.5,0.376,0.0819,-0.0524,-0.0018,-0.0137
1.6,1.1,0.43,0.1413,-0.1073,-0.0003,-0.0154
2.2,1.3,0.431,0.1574,-0.1191,0.0001,-0.0154
1.2,0.7,0.37,0.1189,-0.0725,-0.0017,-0.0168
1.8,0.9,0.367,0.1542,-0.09,-0.0004,-0.0168
1.2,0.9,0.434,0.1175,-0.0918,-0.0011,-0.0178
2.0,1.3,0.44,0.1525,-0.1196,0.0001,-0.0199
3.0,1.5,0.445,0.1648,-0.1292,0.0016,-0.0208
2.8,1.5,0.446,0.1633,-0.1294,0.0012,-0.0219
2.0,0.9,0.356,0.1601,-0.0898,-0.0009,-0.0229
2.6,1.5,0.449,0.1611,-0.1297,0.001,-0.0237
1.8,1.3,0.452,0.1472,-0.1202,0.0006,-0.0252
2.4,1.5,0.453,0.1588,-0.13,0.0008,-0.0256
1.4,1.1,0.452,0.1301,-0.108,-0.0004,-0.0263
2.2,0.9,0.347,0.1653,-0.0895,-0.001,-0.0274
2.2,1.5,0.459,0.1553,-0.1304,0.0009,-0.0289
2.4,0.9,0.341,0.1698,-0.0893,-0.0008,-0.0301
1.4,0.7,0.342,0.1347,-0.0722,-0.0014,-0.0302
3.0,1.7,0.464,0.1628,-0.1383,0.0015,-0.0306
2.6,0.9,0.338,0.1727,-0.0891,-0.0006,-0.0316
2.8,1.7,0.466,0.1613,-0.1385,0.0011,-0.0317
0.8,0.7,0.459,0.0812,-0.0735,-0.0024,-0.0322
2.8,0.9,0.335,0.1754,-0.089,-0.0004,-0.0329
1.6,1.3,0.467,0.1389,-0.121,0.0004,-0.0332
2.0,1.5,0.469,0.1506,-0.1311,0.0009,-0.0334
3.0,0.9,0.333,0.1771,-0.089,-0.0003,-0.0335
2.6,1.7,0.469,0.1591,-0.1388,0.0008,-0.0335
2.4,1.7,0.472,0.1569,-0.1391,0.0007,-0.0355
1.0,0.5,0.331,0.102,-0.0522,-0.0012,-0.0359
3.0,1.9,0.479,0.1614,-0.1448,0.0017,-0.0376
2.8,1.9,0.48,0.1599,-0.145,0.0013,-0.0387
2.2,1.7,0.479,0.1535,-0.1396,0.0008,-0.0387
1.8,1.5,0.48,0.1456,-0.1318,0.0014,-0.0387
1.0,0.9,0.476,0.0999,-0.0928,-0.001,-0.0391
1.6,0.7,0.322,0.1481,-0.0719,-0.001,-0.0398
2.6,1.9,0.483,0.1576,-0.1453,0.0011,-0.0406
1.2,1.1,0.481,0.116,-0.1093,-0.001,-0.0413
2.4,1.9,0.487,0.1555,-0.1457,0.001,-0.0425
2.0,1.7,0.488,0.149,-0.1404,0.0008,-0.0431
3.0,2.1,0.49,0.16,-0.1505,0.0016,-0.0434
1.4,1.3,0.489,0.1282,-0.122,0.0004,-0.0442
2.8,2.1,0.492,0.1585,-0.1507,0.0013,-0.0445
2.2,1.9,0.493,0.1521,-0.1462,0.001,-0.0457
2.6,2.1,0.495,0.1564,-0.151,0.0011,-0.0463
1.6,1.5,0.496,0.1374,-0.1329,0.0011,-0.0468
1.8,0.7,0.308,0.1584,-0.0716,-0.0009,-0.0471
3.0,2.3,0.497,0.1592,-0.1548,0.0011,-0.0472
2.8,2.3,0.498,0.1578,-0.155,0.0008,-0.0482
2.4,2.1,0.499,0.1542,-0.1514,0.001,-0.0483
1.8,1.7,0.5,0.1441,-0.1412,0.0014,-0.0485
2.6,2.3,0.502,0.1557,-0.1554,0.0006,-0.0501
2.0,1.9,0.502,0.1476,-0.147,0.001,-0.0502
3.0,2.5,0.503,0.159,-0.1583,0.0012,-0.0502
2.8,2.5,0.504,0.1576,-0.1585,0.0009,-0.0513
2.2,2.1,0.505,0.1509,-0.152,0.0009,-0.0516
2.4,2.3,0.505,0.1535,-0.1558,0.0005,-0.0521
2.6,2.5,0.508,0.1554,-0.1589,0.0007,-0.0532
2.0,0.7,0.296,0.1649,-0.0715,-0.0015,-0.0533
1.2,0.5,0.293,0.1214,-0.052,-0.0012,-0.0547
2.4,2.5,0.511,0.1533,-0.1593,0.0005,-0.0551
2.2,2.3,0.512,0.1502,-0.1564,0.0005,-0.0554
1.8,1.9,0.514,0.1429,-0.148,0.0015,-0.0555
2.0,2.1,0.514,0.1464,-0.1529,0.0009,-0.0561
1.6,1.7,0.515,0.1361,-0.1425,0.0011,-0.0566
2.2,0.7,0.288,0.1705,-0.0713,-0.0017,-0.0576
1.4,1.5,0.518,0.1269,-0.1342,0.001,-0.0579
2.2,2.5,0.518,0.1499,-0.16,0.0005,-0.0585
1.2,1.3,0.518,0.1147,-0.1238,-0.0003,-0.0592
2.4,0.7,0.283,0.1754,-0.0712,-0.0014,-0.0599
2.0,2.3,0.521,0.1457,-0.1574,0.0005,-0.0599
1.8,2.1,0.526,0.1417,-0.1541,0.0014,-0.0614
2.6,0.7,0.279,0.1791,-0.0711,-0.0012,-0.0615
2.8,0.7,0.276,0.1824,-0.071,-0.0009,-0.0627
1.0,1.1,0.523,0.0992,-0.1111,-0.001,-0.0628
2.0,2.5,0.527,0.1455,-0.161,0.0005,-0.063
1.6,1.9,0.53,0.1351,-0.1494,0.0012,-0.0635
3.0,0.7,0.275,0.1839,-0.071,-0.0009,-0.0635
0.8,0.9,0.526,0.0815,-0.0935,-0.0014,-0.0646
1.8,2.3,0.533,0.141,-0.1586,0.001,-0.0653
1.4,0.5,0.269,0.1386,-0.0518,-0.0007,-0.0663
1.4,1.7,0.537,0.1259,-0.1439,0.0009,-0.0675
1.8,2.5,0.539,0.1408,-0.1623,0.001,-0.0684
1.6,2.1,0.541,0.134,-0.1556,0.0011,-0.0695
1.2,1.5,0.547,0.1137,-0.1366,0.0003,-0.0731
1.6,2.3,0.548,0.1334,-0.1602,0.0007,-0.0733
1.4,1.9,0.551,0.1249,-0.1509,0.001,-0.0744
1.6,0.5,0.25,0.1538,-0.0516,-0.0002,-0.075
1.6,2.5,0.554,0.1332,-0.164,0.0007,-0.0764
1.4,2.1,0.562,0.1241,-0.1575,0.0009,-0.0803
1.0,1.3,0.56,0.0984,-0.1266,-0.0006,-0.0806
1.8,0.5,0.237,0.1657,-0.0516,-0.0001,-0.0816
1.2,1.7,0.566,0.113,-0.1467,0.0003,-0.0827
1.4,2.3,0.569,0.1236,-0.1622,0.0005,-0.0841
2.0,0.5,0.227,0.1724,-0.0515,-0.0007,-0.0873
1.4,2.5,0.576,0.1234,-0.1661,0.0005,-0.0873
0.8,1.1,0.574,0.0809,-0.1128,-0.0015,-0.0887
1.2,1.9,0.58,0.1123,-0.154,0.0005,-0.0896
2.2,0.5,0.219,0.1792,-0.0514,-0.0009,-0.0915
2.4,0.5,0.214,0.1852,-0.0514,-0.0008,-0.0938
1.0,1.5,0.588,0.0979,-0.1399,0.0,-0.0942
2.6,0.5,0.211,0.1898,-0.0513,-0.0005,-0.0952
1.2,2.1,0.592,0.1116,-0.1612,0.0003,-0.0958
2.8,0.5,0.208,0.1936,-0.0513,-0.0004,-0.0965
3.0,0.5,0.206,0.195,-0.0512,-0.0004,-0.0972
1.2,2.3,0.599,0.1111,-0.1665,-0.0001,-0.0998
1.2,2.5,0.606,0.1109,-0.1707,-0.0001,-0.103
1.0,1.7,0.608,0.0975,-0.1506,0.0001,-0.1037
0.8,1.3,0.61,0.0805,-0.1298,-0.0015,-0.1065
1.0,1.9,0.622,0.097,-0.1588,0.0002,-0.1106
