tp_mult,sl_mult,pos_rate,avg_win,avg_loss,expectancy,score
1.0,0.7,0.403,0.1046,-0.0713,-0.0005,-0.0017
1.2,0.9,0.417,0.1219,-0.0896,-0.0015,-0.0098
1.8,1.3,0.397,0.1537,-0.1182,-0.0103,-0.012
0.8,0.5,0.375,0.0846,-0.0514,-0.0004,-0.013
1.6,1.1,0.387,0.1482,-0.1051,-0.007,-0.0134
2.0,1.5,0.408,0.1588,-0.1278,-0.0109,-0.0148
1.4,1.1,0.425,0.1338,-0.1059,-0.004,-0.0165
1.4,0.9,0.374,0.1389,-0.0892,-0.0038,-0.0166
2.6,1.9,0.41,0.1684,-0.1413,-0.0144,-0.0192
2.2,1.7,0.422,0.1627,-0.1357,-0.0097,-0.0208
2.4,1.7,0.392,0.1675,-0.1355,-0.0169,-0.0211
1.2,0.7,0.359,0.1246,-0.071,-0.0009,-0.0215
3.0,2.1,0.402,0.168,-0.1475,-0.0208,-0.0216
1.6,1.3,0.433,0.1438,-0.1186,-0.0049,-0.0216
2.4,1.9,0.433,0.1646,-0.1405,-0.0084,-0.0249
2.8,2.1,0.422,0.1672,-0.1466,-0.0143,-0.0251
2.2,1.5,0.378,0.1682,-0.1272,-0.0155,-0.0263
1.8,1.5,0.444,0.1494,-0.1293,-0.0057,-0.0275
0.8,0.7,0.456,0.084,-0.0716,-0.0007,-0.0285
3.0,2.3,0.434,0.168,-0.1492,-0.0114,-0.0286
2.6,2.1,0.446,0.1659,-0.1453,-0.0065,-0.0296
2.8,1.9,0.385,0.17,-0.1426,-0.0222,-0.0296
2.0,1.7,0.452,0.1545,-0.1367,-0.0052,-0.031
2.8,2.3,0.455,0.1674,-0.1482,-0.0047,-0.0321
1.0,0.9,0.464,0.1032,-0.0904,-0.0005,-0.0325
2.2,1.9,0.464,0.1602,-0.1409,-0.0014,-0.0331
3.0,2.5,0.464,0.1691,-0.1498,-0.0018,-0.0338
2.0,1.3,0.362,0.1645,-0.1173,-0.0154,-0.0345
2.4,2.1,0.47,0.1625,-0.1447,-0.0004,-0.0352
1.2,1.1,0.469,0.1188,-0.1066,-0.0009,-0.0353
1.0,0.5,0.328,0.1056,-0.0514,0.0001,-0.0358
2.6,2.3,0.479,0.166,-0.147,0.003,-0.0366
1.8,1.1,0.351,0.1595,-0.1053,-0.0123,-0.0367
2.8,2.5,0.485,0.1684,-0.1488,0.0049,-0.0374
1.6,0.9,0.338,0.1547,-0.0892,-0.0068,-0.038
1.4,1.3,0.473,0.1304,-0.1201,-0.0017,-0.0381
2.6,1.7,0.369,0.172,-0.1363,-0.0226,-0.0382
1.6,1.5,0.481,0.1403,-0.1304,-0.0003,-0.0406
2.6,2.5,0.509,0.167,-0.1476,0.0126,-0.0419
1.4,0.7,0.321,0.1429,-0.0712,-0.0025,-0.0423
2.4,2.3,0.503,0.1628,-0.1465,0.009,-0.0423
2.0,1.9,0.493,0.1528,-0.1423,0.0032,-0.0433
2.2,2.1,0.5,0.1585,-0.1453,0.0067,-0.0435
1.8,1.7,0.488,0.1463,-0.1389,0.0002,-0.0437
3.0,1.9,0.365,0.1711,-0.1435,-0.0286,-0.0459
2.4,2.5,0.532,0.164,-0.147,0.0185,-0.0476
2.4,1.5,0.348,0.1739,-0.1274,-0.0225,-0.0483
2.2,2.3,0.533,0.1588,-0.1473,0.0159,-0.0506
2.2,1.3,0.333,0.1752,-0.1171,-0.0198,-0.0534
2.0,2.1,0.53,0.1516,-0.1469,0.0114,-0.0538
1.2,0.5,0.289,0.1259,-0.0515,-0.0003,-0.0557
2.2,2.5,0.562,0.1601,-0.1478,0.0254,-0.0558
1.8,1.9,0.529,0.1453,-0.1449,0.0087,-0.056
1.6,1.7,0.525,0.1379,-0.1407,0.0055,-0.0568
1.4,1.5,0.52,0.128,-0.1327,0.0028,-0.0571
1.2,1.3,0.517,0.1164,-0.1222,0.0012,-0.0573
2.8,1.7,0.345,0.174,-0.1377,-0.0303,-0.0579
2.0,1.1,0.318,0.1718,-0.1051,-0.017,-0.058
1.0,1.1,0.518,0.1015,-0.1082,0.0005,-0.0587
1.8,0.9,0.304,0.1679,-0.0899,-0.0115,-0.0596
0.8,0.9,0.519,0.0835,-0.0909,-0.0004,-0.0599
1.6,0.7,0.288,0.1603,-0.0716,-0.0048,-0.0609
2.0,2.3,0.563,0.1523,-0.1492,0.0206,-0.061
2.6,1.5,0.326,0.1792,-0.1284,-0.0281,-0.0651
2.0,2.5,0.593,0.1539,-0.1498,0.0302,-0.0662
1.8,2.1,0.567,0.1446,-0.1502,0.0168,-0.0665
1.6,1.9,0.566,0.1375,-0.1473,0.0138,-0.0691
1.4,1.7,0.564,0.1266,-0.1438,0.0087,-0.0733
1.8,2.3,0.599,0.1457,-0.1528,0.0261,-0.0736
1.4,0.5,0.255,0.146,-0.0518,-0.0014,-0.074
2.4,1.3,0.304,0.1824,-0.1176,-0.0264,-0.0743
3.0,1.7,0.325,0.1749,-0.139,-0.037,-0.0745
2.2,1.1,0.291,0.1841,-0.1054,-0.0211,-0.0756
1.2,1.5,0.564,0.115,-0.1359,0.0055,-0.0764
2.0,0.9,0.274,0.1822,-0.0902,-0.0157,-0.0789
1.8,2.5,0.629,0.1473,-0.1538,0.0357,-0.079
1.6,2.1,0.603,0.1373,-0.1531,0.0219,-0.0795
1.8,0.7,0.257,0.1749,-0.0725,-0.009,-0.0807
1.0,1.3,0.568,0.1003,-0.125,0.0029,-0.0809
2.8,1.5,0.302,0.1819,-0.13,-0.0358,-0.0849
1.4,1.9,0.604,0.1267,-0.1515,0.0165,-0.0855
0.8,1.1,0.574,0.0829,-0.1097,0.0009,-0.0863
1.6,2.3,0.635,0.1386,-0.156,0.0312,-0.0865
1.6,0.5,0.226,0.1657,-0.0521,-0.0029,-0.0898
2.6,1.3,0.282,0.1891,-0.1188,-0.032,-0.0911
1.6,2.5,0.665,0.1405,-0.1572,0.0407,-0.0917
1.2,1.7,0.608,0.1144,-0.1481,0.0114,-0.0925
2.4,1.1,0.264,0.1932,-0.1061,-0.0272,-0.0953
2.2,0.9,0.248,0.197,-0.0909,-0.0195,-0.0953
1.4,2.1,0.642,0.1269,-0.1587,0.0245,-0.0963
2.0,0.7,0.229,0.1912,-0.0733,-0.0128,-0.0983
1.0,1.5,0.613,0.0997,-0.1405,0.0067,-0.0996
3.0,1.5,0.282,0.1833,-0.1313,-0.0426,-0.1016
1.4,2.3,0.673,0.1286,-0.1622,0.0336,-0.103
1.2,1.9,0.647,0.1151,-0.1563,0.0192,-0.1041
1.8,0.5,0.202,0.1822,-0.053,-0.0056,-0.1048
0.8,1.3,0.622,0.0824,-0.1279,0.0029,-0.108
1.4,2.5,0.702,0.1306,-0.1644,0.0427,-0.1083
2.8,1.3,0.259,0.193,-0.1205,-0.0394,-0.11
2.6,1.1,0.242,0.2022,-0.1074,-0.0324,-0.1113
2.2,0.7,0.207,0.2081,-0.0742,-0.0158,-0.1125
2.4,0.9,0.223,0.2089,-0.0919,-0.0249,-0.1135
1.2,2.1,0.683,0.1157,-0.1645,0.027,-0.1147
1.0,1.7,0.656,0.0997,-0.1544,0.0122,-0.1156
2.0,0.5,0.178,0.2009,-0.0539,-0.0086,-0.1196
1.2,2.3,0.714,0.1173,-0.1701,0.0351,-0.1219
0.8,1.5,0.664,0.0825,-0.1447,0.0062,-0.1259
3.0,1.3,0.239,0.1954,-0.1219,-0.046,-0.1264
1.2,2.5,0.741,0.1195,-0.1735,0.0436,-0.1269
1.0,1.9,0.693,0.1008,-0.1647,0.0194,-0.1272
2.4,0.7,0.184,0.223,-0.0753,-0.0204,-0.1282
2.6,0.9,0.203,0.2203,-0.0933,-0.0296,-0.1282
2.8,1.1,0.22,0.2082,-0.1091,-0.0392,-0.1289
2.2,0.5,0.159,0.2199,-0.0549,-0.0112,-0.1317
1.0,2.1,0.728,0.1019,-0.1748,0.0266,-0.1374
0.8,1.7,0.703,0.083,-0.1605,0.0106,-0.1408
2.6,0.7,0.167,0.2374,-0.0767,-0.0243,-0.1409
2.4,0.5,0.141,0.2386,-0.056,-0.0144,-0.1438
2.8,0.9,0.183,0.2295,-0.0951,-0.0356,-0.144
3.0,1.1,0.202,0.2127,-0.1106,-0.0453,-0.1444
1.0,2.3,0.758,0.1037,-0.1825,0.0345,-0.1446
