feature,importance,rank
hour_sin,0.020415956,1
donchian_width_pct,0.019540606,2
hour_cos,0.018837735,3
session_asia,0.01821457,4
dist_ema_200,0.016891252,5
dow_cos,0.016704287,6
ema_100_200_ratio,0.01652481,7
atr_pct,0.016423903,8
atr_percentile,0.016394906,9
dist_ema_50,0.016332965,10
dist_high_50,0.01631225,11
dist_low_20,0.015878601,12
dist_sma200,0.015863646,13
dist_low_10,0.0158577,14
dow_sin,0.015777122,15
ema_200_slope,0.01568937,16
dist_ema_100,0.0156169245,17
vol_std_50,0.01546218,18
dist_low_50,0.015429405,19
ema_100_slope,0.015354373,20
breakout_low_10,0.015336361,21
dist_ema_21,0.015234125,22
ema_50_100_ratio,0.0152207455,23
rsi_14,0.015175368,24
session_overlap,0.015128326,25
roc_5,0.015128024,26
breakout_low_20,0.015127638,27
ret_50,0.015094348,28
ema_50_slope,0.014896282,29
atr,0.014867372,30
ema_21_slope,0.0147917755,31
session_ny,0.014548656,32
ema_21_50_ratio,0.014545934,33
roc_50,0.01450885,34
vol_std_10,0.014437623,35
di_ratio,0.01443001,36
dist_high_20,0.014409484,37
vol_ratio,0.014259804,38
bb_width_pct,0.014222386,39
atr_ratio,0.014167626,40
adx_percentile,0.014125788,41
dist_high_10,0.0139347585,42
rsi_21,0.013882374,43
session_london,0.013776607,44
ret_20,0.013685008,45
ema_9_21_ratio,0.013580076,46
ema_9_slope,0.013554754,47
rsi_7,0.013423109,48
adx,0.013389024,49
minus_di,0.0131880725,50
plus_di,0.013185317,51
donchian_position,0.01317943,52
vol_trend,0.013102674,53
vol_ratio_long,0.012908422,54
ret_5,0.012772716,55
dist_ema_9,0.012633054,56
vol_ratio_sma,0.012465908,57
bb_position,0.012438438,58
di_diff,0.012222548,59
ret_10,0.012042319,60
roc_10,0.011711455,61
range_pct,0.01154474,62
roc_20,0.011372184,63
ret_1,0.010733346,64
body_pct,0.010361665,65
consecutive_down,0.010193468,66
upper_wick_pct,0.009675335,67
consecutive_up,0.009629698,68
gap_pct,0.009331421,69
lower_wick_pct,0.00878119,70
breakout_high_10,0.0041217417,71
breakout_low_50,0.0,72
breakout_high_50,0.0,73
breakout_high_20,0.0,74
