feature,importance,rank
session_ny,0.021720564,1
hour_sin,0.019123806,2
hour_cos,0.017901843,3
session_asia,0.017745368,4
ema_200_slope,0.01714155,5
dist_ema_200,0.016819164,6
atr_percentile,0.01658459,7
session_overlap,0.016337685,8
dist_ema_100,0.016086087,9
atr,0.01602212,10
dow_cos,0.015913766,11
ema_21_50_ratio,0.0158969,12
dist_high_50,0.015892494,13
ema_100_200_ratio,0.01584416,14
dow_sin,0.015684137,15
dist_low_50,0.01567438,16
vol_std_50,0.015660264,17
atr_ratio,0.015563158,18
ema_50_100_ratio,0.015530421,19
donchian_width_pct,0.015453165,20
dist_ema_50,0.015405026,21
session_london,0.015319736,22
vol_ratio,0.015172435,23
ema_100_slope,0.015170466,24
bb_width_pct,0.015137737,25
ema_50_slope,0.014965562,26
ret_50,0.014920436,27
di_diff,0.014572296,28
atr_pct,0.014548554,29
dist_low_20,0.014449056,30
dist_high_20,0.014373701,31
ema_9_21_ratio,0.0141466865,32
donchian_position,0.013790887,33
dist_sma200,0.013743735,34
adx,0.013651722,35
roc_50,0.013651688,36
rsi_21,0.013592096,37
vol_std_10,0.013579622,38
dist_low_10,0.013543189,39
rsi_7,0.013448193,40
dist_high_10,0.013438681,41
adx_percentile,0.013387163,42
ret_20,0.013376135,43
plus_di,0.013376133,44
dist_ema_9,0.013302754,45
roc_20,0.013258975,46
di_ratio,0.013161674,47
dist_ema_21,0.012991081,48
rsi_14,0.012816543,49
minus_di,0.012637745,50
breakout_high_50,0.0124999415,51
vol_ratio_sma,0.012363032,52
ema_21_slope,0.012270195,53
ema_9_slope,0.0121378405,54
vol_ratio_long,0.0120224,55
roc_10,0.0116368495,56
bb_position,0.011623962,57
ret_10,0.011572329,58
consecutive_up,0.011510506,59
range_pct,0.0114602,60
ret_5,0.011264292,61
roc_5,0.010506262,62
breakout_low_10,0.009827428,63
breakout_high_20,0.009822865,64
gap_pct,0.00963499,65
vol_trend,0.009541682,66
lower_wick_pct,0.009522478,67
breakout_high_10,0.009407242,68
upper_wick_pct,0.009376848,69
ret_1,0.0092317425,70
consecutive_down,0.009100082,71
body_pct,0.0088892095,72
breakout_low_20,0.006726984,73
breakout_low_50,0.006525422,74
